state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
Alabama,,,Not Adopted,1,2015,4781070,2299014,175451,171126,389086,376646,227516,182945,291369,219344,285883,231565,304755,261998,301864,274636,2482056,170608,165164,371571,360012,230942,195929,316384,257262,312495,266203,328264,290780,331608,302100,1272906,103992,99873,230540,223978,145263,114486,173593,129681,166998,138057,158023,135014,155652,138966,3285127,215261,210800,476416,464900,291435,247202,399385,324172,401032,338317,452693,400031,458037,421877,86404,165187,29150,26935,22795,27750,38901,89643,161657,40329,51128,39966,36892,43006,1751713,36.6,952001,19.9,678094,14.2,731365,58.2,1008363,29
Alaska,,,Adopted,2,2015,713082,367289,33698,29933,62128,55513,40434,30634,56423,42358,44642,36674,46999,39023,48220,40893,345793,32218,28840,57873,51966,33290,26623,53261,43944,43754,36070,44535,37005,45521,38288,23737,2366,2362,4121,4121,3351,2795,3107,2687,3851,3308,3032,2553,2954,2514,464147,36164,33436,63952,58331,42189,36027,72201,61280,59606,51522,64408,56878,70670,62908,13427,20469,4670,6062,3811,4509,4039,12463,19323,5584,8143,5763,4705,4580,204978,28.7,112725,15.8,92891,13,62750,55.3,140770,23.7
Arizona,,,Adopted,4,2015,6719354,3293746,258843,241199,565236,515251,330644,262883,440884,348716,403407,331336,405252,348995,379561,345404,3425608,253182,235811,542132,492885,322705,265542,440339,380403,418146,361774,424393,374335,426743,390994,288930,25458,24269,55118,52125,35609,29380,47859,40045,37593,35273,35756,33102,27653,25079,5206903,354959,334445,787232,723613,466999,383894,650010,547806,619262,526480,653960,575339,677430,625385,108263,206515,61143,77847,60670,63856,58747,109318,198185,76453,110114,90366,73923,70410,2586485,38.5,1590007,23.7,1153186,17.2,1048980,62.4,1519659,30.5
Arkansas,,,Adopted,5,2015,2924307,1426441,112494,105086,250752,240405,141008,115752,180584,139743,174942,145750,184703,162434,175501,159339,1497866,113621,108066,226834,215590,138958,117264,193823,161726,183671,161812,192237,174583,193956,181096,454489,40725,37178,87690,83895,55849,45576,61621,50498,58127,48915,53827,49133,53765,50331,2271224,158931,151249,341099,326569,201307,170481,284948,231317,276354,240424,301158,270222,303342,279601,62124,126703,22550,28246,24056,28022,29042,64985,111525,30147,44832,34898,34983,39434,1230797,42.1,736926,25.2,553419,18.9,523024,64.5,694498,33.5
California,,,Adopted,6,2015,38649621,19053168,1534824,1497867,3108296,2992968,1951795,1663823,2892205,2346666,2533730,2141305,2559327,2258755,2211813,2040650,19596453,1455144,1420119,3004875,2889817,1895181,1690552,2823855,2482876,2580433,2283359,2622629,2371794,2380883,2219169,2194008,157201,153410,337081,329174,244217,217989,330470,289371,272493,250306,313378,292513,276310,262805,23535253,1671830,1634904,3501135,3367882,2193433,1923528,3303521,2793965,2959960,2566085,3199864,2882165,3063143,2861903,741628,1346142,467664,526034,419217,444256,418963,700856,1303288,568173,718096,557870,522334,509664,14671075,38,9918074,25.7,8065772,20.9,5892564,67.2,8673157,29.3
Colorado,,,Adopted,8,2015,5367335,2673619,206140,199354,433329,413700,263619,231252,408354,331393,365331,313330,347572,313548,331099,307683,2693716,196288,190265,419043,399058,247424,224320,394696,349904,356146,319372,353995,321856,348202,328612,213031,18644,18487,38088,37181,24340,21438,34669,30220,27498,25673,27858,25665,23866,22342,4537597,316906,306564,682827,652656,416602,374189,667349,570971,600540,531618,607792,553885,607347,572086,83268,142598,42643,54721,42068,36859,40520,77427,140688,56955,79512,54535,44703,49066,1719397,32,1049649,19.6,797707,14.9,570026,62.1,1139821,25.9
Connecticut,,,Adopted,9,2015,3537983,1719257,113468,110884,276558,267231,175814,155958,214309,182207,206251,183838,256260,237356,238760,226586,1818726,112147,107844,259748,250862,170091,156302,218550,196806,221127,205478,276774,262396,254714,243911,369503,29453,28919,64281,60363,43952,36801,52672,45041,48496,43526,54207,48837,40030,37862,2713152,151069,145686,373540,362501,246223,229005,301425,273334,309479,288598,427216,407184,421189,403947,44619,87227,32970,33862,30038,35288,24562,39241,82518,37881,51383,40761,44521,32844,1184907,33.5,695649,19.7,524027,14.8,375690,70.4,800174,27.2
Delaware,,,Adopted,10,2015,931203,447682,33318,33036,70532,67914,43357,39220,57773,49432,52100,46475,61203,56802,58743,54909,483521,32614,31244,67307,65492,43669,41117,63017,57552,56603,51902,66551,62503,67666,64413,198752,15278,15095,35269,34149,23416,21372,26235,24035,25134,22723,28516,26886,23360,22145,645731,39181,37842,85119,82206,53238,49583,81398,70864,71852,64851,89344,84179,96547,91480,13401,26784,8943,9432,7428,8722,7831,13329,25195,10286,16014,11802,9650,9518,348338,37.4,191148,20.5,142228,15.3,113957,67.3,232421,31
District of Columbia,,,Adopted,11,2015,660682,311147,26616,26285,33215,32549,34856,32054,69861,64745,46790,43398,37860,36162,32536,31280,349535,24750,24551,32834,32224,43910,42805,80488,77848,48030,46260,38552,36854,36707,35570,312675,27129,26942,41080,40829,34691,32423,47136,44914,36648,33750,41216,39505,41907,40558,264710,16426,16133,14429,14409,34181,33355,80392,78084,43881,42612,27482,26918,21216,20511,10509,17203,6196,6754,7168,9830,9739,12082,17558,8695,15996,10828,10597,11953,231384,35,149471,22.6,134338,20.3,107572,72.6,122105,25
Florida,,,Not Adopted,12,2015,19960169,9652725,668973,636770,1411689,1303572,874119,663287,1237740,871214,1169159,887022,1311981,1061095,1233381,1076392,10307444,646860,611790,1365879,1257463,855443,690729,1282278,1018083,1237548,1010471,1393405,1164230,1393133,1220423,3180858,284594,270534,582044,538355,356645,261579,471199,345825,409773,319713,400909,320210,346242,290302,15161839,871086,825431,1892793,1751719,1192405,953392,1800250,1364827,1755792,1395327,2111183,1750895,2131893,1885188,353321,585117,108151,111447,100683,128481,135738,333458,548247,148976,216063,163766,146046,161730,7439193,37.3,4251414,21.3,2701782,13.5,2634247,55.7,4763149,31.6
Georgia,,,Not Adopted,13,2015,10024056,4822637,406380,382729,870709,803522,490646,367093,635196,443225,643038,502399,663889,557166,561389,496862,5201419,382303,362653,839942,784197,502386,391565,693125,540227,715075,580793,714259,607903,635415,556187,3113401,268939,256452,583465,545235,355468,261980,441114,324818,428814,350006,412549,348205,343234,294086,5982700,409812,387562,924337,861696,531693,425300,743394,562193,785409,630326,856752,735783,789563,707961,190019,335567,42028,37101,42087,44633,53540,189211,335781,71449,83302,70029,58578,70502,3095619,30.9,1856838,18.5,1356442,13.5,1258314,51.1,1812562,24.3
Hawaii,,,Adopted,15,2015,1375062,676267,56694,56396,101660,99506,59228,53868,98082,89239,83433,78544,85225,80519,86699,82258,698795,53862,53269,98779,96779,56843,53573,97573,91757,85760,82089,86762,82741,91596,88542,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,339667,23578,23578,33580,33184,25506,23087,54924,51588,42760,39133,41849,39316,53240,50236,22127,30292,9830,14135,7844,11354,10792,20145,29544,9980,17530,11548,10037,10675,460898,33.5,240887,17.5,181019,13.2,131602,64.5,325924,28.1
Idaho,,,Adopted,16,2015,1632247,810197,67544,64934,153136,142373,75951,60385,104865,79321,99654,81192,97397,82320,99138,89451,822050,67123,63983,143536,135207,76800,65558,105666,88048,100162,83473,99538,85447,102734,91576,8366,878,878,2282,2282,1244,698,1141,983,1337,1227,813,688,137,137,1494243,118421,113805,265085,249333,135548,112411,191508,153336,182202,151128,181622,156963,190379,172173,29602,53823,8341,8849,7221,9242,7491,28582,51105,11642,14992,9986,9534,8489,529018,32.4,277416,17,198686,12.2,186665,50.7,337713,27
Illinois,,,Adopted,17,2015,12679860,6188024,481018,470776,1024872,996834,607708,527191,860348,713564,811724,700840,847814,769525,785231,736186,6491836,457008,446898,993364,966482,606118,551821,881020,789944,835737,753630,880416,812787,842461,792902,1783576,146184,142493,320062,309369,207977,177996,240529,205265,225498,200041,229158,208169,212331,194989,9126301,615995,602402,1340307,1306948,806216,735660,1211076,1076514,1152228,1042958,1291898,1202188,1269750,1206548,212360,383826,94609,106503,92393,99202,90412,206224,369374,142187,197273,151229,120966,113777,4287715,33.8,2681306,21.1,2083317,16.4,1680398,66.6,2575070,25.7
Indiana,,,Adopted,18,2015,6520267,3188516,251953,235517,549757,511277,335061,281731,404694,325642,398831,333167,427256,378334,410991,376179,3331751,247862,231659,526434,491228,330317,286667,419147,356093,409110,357143,442251,399161,437512,403720,582971,53680,52570,115207,110401,67641,53114,83223,66918,73647,60205,72588,63398,64139,56200,5487510,388611,361299,850316,789464,528275,461259,678423,567936,675065,584907,755025,678395,757509,700889,99551,175904,33003,36916,38408,36787,37048,102764,172200,51482,75200,54489,50877,47960,2074721,31.8,1160117,17.8,827767,12.7,808597,58.6,1245214,24.7
Iowa,,,Adopted,19,2015,3080411,1525900,121126,116710,249184,240065,162767,146349,194060,172610,183700,167458,197281,186805,203450,194108,1554511,115701,112101,240484,232023,154808,144189,192791,177505,181536,171235,198860,188212,207136,199526,102031,11650,10927,22425,19990,14470,12180,16529,12493,13146,11483,11202,10287,7503,7120,2789633,200223,194737,422499,409906,273917,254348,341775,313960,325244,304597,367309,349820,393324,378084,47584,82905,21265,23746,20211,19077,21222,46654,79096,30980,37945,31026,25025,25363,1035488,33.6,510679,16.6,385351,12.5,357459,63.9,669117,27.2
Kansas,,,Not Adopted,20,2015,2850159,1405712,118650,112145,247714,232811,150770,124334,182857,148339,167970,141928,177618,157504,178355,164461,1444447,116860,112850,235770,224653,141838,123983,186461,158480,171012,147038,179935,161712,187243,173780,163608,13821,13441,32649,30348,20733,15814,22915,17561,19880,15749,19649,16467,18552,16361,2418071,187683,179206,388553,369839,234014,202020,308452,261113,284204,246867,308722,280983,329023,306933,43219,74437,10382,10662,10902,10494,13014,41447,69797,16298,18925,12955,13014,12960,810973,28.5,404088,14.2,274439,9.6,274862,49.4,529307,23.4
Kentucky,,,Adopted,21,2015,4342711,2115795,169704,163177,345302,328108,208484,185608,265073,226465,268197,238242,290161,267653,280401,267403,2226916,159151,154015,334030,320080,206356,189172,279599,255025,279361,260399,302702,285600,302621,291106,339483,27286,26763,60342,59161,41389,37430,47415,40518,39993,37438,43906,40996,44494,42967,3803786,270550,260846,567623,542414,349082,317952,469685,420285,480624,440843,532082,497708,528254,506382,81335,135576,47453,56703,51823,55662,51496,75366,140412,60230,83683,69378,72188,59891,1826727,42.1,1108266,25.5,858142,19.8,829263,74.1,979979,31
Louisiana,,,Adopted,22,2015,4567431,2202574,192324,187005,381387,367525,220792,168250,302131,226448,271780,208352,279296,235531,280081,247133,2364857,175318,166904,365649,353321,222381,184626,341041,271533,287471,236508,307787,266355,308011,272896,1450444,134445,129613,275850,266949,167500,120823,206952,150267,172371,132002,174861,144790,171291,148807,2868776,201186,194299,417999,402407,248279,211231,395810,318328,355853,289857,386285,337543,397556,355525,98943,181612,30112,26404,22400,30899,37943,94934,173774,46653,59781,41456,36978,44456,1657545,36.3,1016720,22.3,757214,16.6,730882,58.3,914243,27.9
Maine,,,Adopted,23,2015,1314849,642513,39020,36776,92908,87841,57365,49285,71563,56698,74088,62234,95838,83089,101088,93943,672336,38779,36259,84612,79995,54176,47944,77427,66635,77346,69710,99346,90351,107957,100599,14551,1419,1419,3605,3401,2354,1808,1626,1163,2148,1722,1500,1500,1113,1091,1244499,70154,66118,162109,154038,102487,89855,139619,115914,143030,124986,186730,165910,202220,188403,16075,35082,7342,10770,10475,11588,14534,15385,27631,10819,17518,14022,15246,15822,491583,37.4,237337,18.1,160206,12.2,181375,67.9,303363,29.6
Maryland,,,Adopted,24,2015,5908522,2843580,223064,215068,464467,445987,268937,237242,393333,327926,359612,313707,409718,381753,366482,345292,3064942,218077,211476,440546,421356,269287,247123,418745,378415,392086,361667,449636,424897,410949,392785,1732248,135224,130781,283724,270307,174345,153795,246214,214673,230083,211636,256795,241257,215325,203607,3342741,213980,206695,459360,444643,280526,261090,435261,391321,390972,363733,499046,477134,492937,475175,80716,145201,41244,45975,32985,44394,44431,85375,141729,54340,78712,57651,55616,53997,1859701,31.5,1032229,17.5,805572,13.6,553902,65.9,1293683,25.9
Massachusetts,,,Adopted,25,2015,6718090,3252861,223117,221386,483978,477223,345755,329316,457528,418049,403561,384602,469919,450268,431810,421363,3465229,212288,210355,464541,459075,349902,337011,474095,456454,426470,413823,500167,488490,469230,459236,489307,39987,39815,86178,83729,61646,57864,76112,68917,65305,61409,62974,59954,52584,50948,5314915,310720,308270,695649,687410,515128,498056,694093,656895,623261,602626,800378,777338,776139,760804,81412,165888,70673,92438,85423,86441,82475,78534,159256,79260,128469,104509,108182,96951,2455884,36.6,1395400,20.8,1144603,17,834160,76.7,1602488,29.3
Michigan,,,Adopted,26,2015,9810800,4799205,346719,336405,779363,753504,492278,434839,595541,501459,570809,505324,669521,614521,663165,626655,5011595,331250,322588,747111,723870,482572,443087,604308,548248,590879,549298,693331,648824,710719,677186,1339121,112515,110371,237628,231571,162915,140220,174838,146783,167304,150570,172109,156348,159363,149371,7735793,482689,467702,1118190,1082566,717963,656303,915783,810487,897166,819548,1114680,1039498,1157263,1100872,156727,293236,90817,109888,94179,104711,101614,150334,277549,114640,165661,130955,119742,115120,3737716,38.1,1979529,20.2,1614905,16.5,1513356,69.3,2193256,29.2
Minnesota,,,Adopted,27,2015,5431894,2698425,218564,211941,438561,423754,253512,230743,370554,329240,337120,311747,369338,348888,359456,346832,2733469,200775,195448,423078,410427,248664,233895,367167,344163,332957,315779,370726,355896,367338,356259,312598,37816,36951,74745,71851,35167,30792,51140,43882,43314,39636,33523,31321,22932,21920,4570440,314800,307660,659344,642912,396826,374499,590728,548315,550997,522994,653941,628728,669802,649996,76873,132649,39876,54855,44548,43345,39263,65996,123196,51673,82886,57733,52329,46997,1763983,32.5,936204,17.2,744330,13.7,579993,68.1,1171065,25.9
Mississippi,,,Not Adopted,28,2015,2927568,1399109,113708,110303,254339,244034,148786,109941,170920,121627,176370,134937,174835,142600,174440,155256,1528459,115342,110444,242275,231516,153502,118553,187782,151020,197602,161468,193500,162901,195741,174447,1103584,99017,96780,215400,209642,135557,96184,141753,106193,145316,115314,130511,106654,125904,113413,1723845,117569,111706,257852,243860,156037,126024,202143,157646,214647,172115,228271,192009,236141,210223,71304,131239,18611,18439,16942,20350,31163,69851,126376,30380,39598,30941,25359,35304,1167016,39.9,705789,24.1,543785,18.6,563096,61.5,595262,30.2
Missouri,,,Adopted,29,2015,5969392,2907746,228659,216536,480596,452314,288647,232642,378179,297201,353909,300898,389926,347224,384457,352510,3061646,219998,208207,458461,430959,288590,243852,395507,335479,366691,317790,406813,363774,414960,377776,682415,61918,59569,124732,117240,79697,59365,94813,72871,83998,68444,89047,77749,79828,70753,4931654,342215,322247,730019,688261,453198,381166,625845,520380,591146,512650,673132,602696,691505,635783,85083,147573,21701,22948,26242,31958,33404,87226,142034,33422,52404,39979,36790,39639,1855241,31.1,988356,16.6,631832,10.6,687835,53.8,1150036,24.9
Montana,,,Adopted,30,2015,1017458,508620,36836,34870,77854,70225,51554,40908,63136,50035,58993,48939,63731,53355,72779,62938,508838,37276,35013,73203,67942,46543,37496,62610,51762,57568,49759,63890,55383,77315,66603,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,906416,60741,58437,125284,117197,84107,70468,111006,92728,104529,91121,114885,99926,140079,122692,14550,26492,5059,5048,5000,4984,5610,14979,24572,6973,7083,5210,5193,6391,335453,33,164971,16.2,106141,10.4,108361,50.9,223557,28.2
Nebraska,,,Adopted,31,2015,1866488,924534,79121,75502,160377,151045,95213,83720,124462,102750,115493,99476,113198,101005,116737,109441,941954,77984,74368,151761,143598,93876,81913,122721,104348,113126,100915,115926,106405,119747,112575,86801,8733,8427,18095,16813,11839,9309,12963,10562,10131,7645,10486,8338,8040,6819,1648302,129708,124037,260640,246537,162264,143227,213033,180068,200526,177696,207526,189630,220675,208369,24913,42685,5859,6355,5977,6208,6098,27239,39402,9600,11328,9051,8414,8372,509016,27.3,247378,13.3,161449,8.6,171672,50.1,333114,22.3
